Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Upper,BB_Lower,BB_Width,ATR,Vol_Ratio,ROC_5,ROC_10,Returns
2016-03-28,37.707828521728516,38.22971077721385,37.07689704098704,38.15181635105338,3257300,37.707828521728516,37.707828521728516,37.707828521728516,37.707828521728516,37.707828521728516,0.0,0.0,0.0,37.707828521728516,37.707828521728516,0.0,1.1528137362268112,1.0,0.0,0.0,0.0
2016-03-29,37.82467269897461,37.87919731740286,36.6484919954649,36.983430635163515,3133300,37.76625061035156,37.76625061035156,37.76625061035156,37.72580454899715,37.71648364596897,0.009320903028175564,0.001864180605635113,99.99999982883186,37.93149323049732,37.60100799020581,0.008750808855779005,1.1917595290823861,0.9805965011110068,0.0,0.0,0.003098671597564051
2016-03-30,37.88698196411133,38.56464714204571,37.44299412635757,38.36212757292079,3004400,37.80649439493815,37.80649439493815,37.80649439493815,37.75060107439933,37.729113151016556,0.021487923382771612,0.0057889291610624125,99.99999983254578,37.98839356516863,37.62459522470767,0.009622641461005336,1.1683906912843038,0.9593613624268228,0.0,0.0,0.0016473180252636332
2016-03-31,38.019405364990234,38.307607351881344,37.40405268723795,37.66109689950058,3922700,37.85972213745117,37.85972213745117,37.85972213745117,37.791955580644085,37.750616277977564,0.04133930266652186,0.012899003862154302,99.99999987162076,38.11931660308724,37.6001276718151,0.013713490273009225,1.1021816846240764,1.1781914294510314,0.0,0.0,0.0034952216833830096
2016-04-01,36.9990119934082,37.87919984755051,36.679652219267226,36.967854217548336,5578600,37.68758010864258,37.68758010864258,37.68758010864258,37.66996425953087,37.694941886527985,-0.02497762699711359,0.005323677690300725,23.39217796858229,38.48957731972777,36.885582897557384,0.04256029221144663,1.1496959768438628,1.476109079555257,0.0,0.0,-0.02683875146878678
2016-04-04,36.46934127807617,37.61436427137912,36.31355537190238,37.03016935175419,2956500,37.48454030354818,37.48454030354818,37.48454030354818,37.48525303161477,37.604156656272295,-0.11890362465752702,-0.019521782779264824,16.736677740098827,38.71090220777437,36.25817839932199,0.06543294351708148,1.1748814639493415,0.8117495240884463,-0.03284430030063079,0.0,-0.014315807011992643
2016-04-05,36.8665885925293,37.528674855732,35.94745518650794,36.142186789963844,2575400,37.396261487688335,37.396261487688335,37.396261487688335,37.39007388714008,37.549521984883924,-0.15944809774384083,-0.04750704577218003,31.379337122170696,38.60932006610777,36.1832029092689,0.06487592770820456,1.2329297789885874,0.7379913378799912,-0.025329607319279912,0.0,0.010892637501295654
2016-04-06,38.7593879699707,38.868440194595195,36.851020095266215,37.24048341196008,3655000,37.56665229797363,37.56665229797363,37.56665229797363,37.60073759219095,37.63914168748294,-0.03840409529198752,-0.04568645567614153,62.66424094203866,39.04663613048716,36.08666846546011,0.07879242583398452,1.3309910690311364,1.0411918869644485,0.023026537365413935,0.0,0.051341863994027515
2016-04-07,38.31538772583008,38.95410712244321,37.66108944498634,38.330966610060685,2617000,37.649845123291016,37.649845123291016,37.649845123291016,37.71068376659697,37.68923398661977,0.02144977997720332,-0.03225920854547256,56.61010082461826,39.121482235174625,36.178208011407406,0.07817493575660495,1.3267718033006628,0.7671936990638497,0.00778503393197183,0.0,-0.011455295539873345
2016-04-08,39.460418701171875,40.22376635968115,39.08653431565931,39.53052220916604,4125500,37.8309024810791,37.8309024810791,37.8309024810791,37.979873756531575,37.82043285436437,0.15944090216720497,0.006080813597062945,65.26455332956206,39.62988868829873,36.03191627385947,0.0951067032098758,1.3849324863557038,1.1846136617497998,0.0665262820586181,0.0,0.02988436352348023
