Date,Close,High,Low,Open,Volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR,OBV,OBV_SMA,Momentum_5,Momentum_10,Momentum_20,Vol_Ratio,Vol_Change,Returns,Returns_5d,Volatility_10,Volatility_20,Price_to_SMA20,Price_to_SMA50,SMA_Cross_5_20,SMA_Cross_20_50,Trend_Slope_5,Trend_Slope_10,Day_Sin,Day_Cos,Month_Sin,Month_Cos
2016-03-28,69.06105041503906,69.23817299828173,68.72543999810584,69.11698311369466,7283300,69.06105041503906,69.06105041503906,69.06105041503906,69.06105041503906,69.06105041503906,69.06105041503906,0.0,0.0,0.0,0.0,65.45520119684907,65.45520119684907,-34.54479878364759,69.06105041503906,69.06105041503906,0.0,0.0,0.512733000175885,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4480638910185917e-12,-1.4480638910185917e-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17
2016-03-29,70.2729721069336,70.46874366893056,68.9118885479309,69.00511208519136,10541500,69.66701126098633,69.66701126098633,69.66701126098633,69.66701126098633,69.24749990609976,69.15082239221643,0.09667751388333556,0.019335502776667114,0.07734201110666845,99.99999998349729,88.77008261027073,77.1126419035599,-11.229917383993032,71.38092735419772,67.95309516777493,0.049203089444680444,0.6767766952768931,1.034794060587771,10541500.0,5270750.0,0.0,0.0,0.0,1.1827902697365469,0.44735216179479087,0.017548555728752913,0.0,0.0,0.0,0.008697959548980005,0.008697959548980005,0.0,0.0,1.2119216918945148,1.2119216918945148,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2016-03-30,71.57813262939453,71.78322870655627,70.70181561334016,70.7577554332485,9691900,70.30405171712239,70.30405171712239,70.30405171712239,70.30405171712239,69.60605878660665,69.33062315052591,0.2754356360807435,0.07055552943748239,0.20488010664326112,99.99999998808144,93.29266679910762,82.50598353540914,-6.707333197622035,72.8217094977457,67.78639393649908,0.07162198249255551,0.7530290101384244,1.193281573599407,20233400.0,10258300.0,0.0,0.0,0.0,1.0566565031417283,-0.0805957406441209,0.018572724097607463,0.0,0.0007241963986938176,0.0007241963986938176,0.018122439333891682,0.018122439333891682,0.0,0.0,1.258541107177733,1.258541107177733,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2016-03-31,71.29844665527344,71.70863160893258,70.80434843353727,71.4289610195058,7490800,70.55265045166016,70.55265045166016,70.55265045166016,70.55265045166016,69.86642615101692,69.47638785458128,0.39003829643564814,0.13445208283711554,0.2555862135985326,89.99967263524114,84.14599249361969,88.73624730099935,-15.854007503109973,72.83619048705312,68.2691104162672,0.06473293407890646,0.6632982544618737,1.1210319740483818,12742600.0,10879375.0,0.0,0.0,0.0,0.8559080197100621,-0.22710717196834473,-0.00390742205540906,0.0,0.012693599926624426,0.012693599926624426,0.010570775140803734,0.010570775140803734,0.0,0.0,0.8017349243164102,0.8017349243164102,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2016-04-01,72.33324432373047,72.94853248456519,70.66452376934564,71.08403325173286,10183400,70.90876922607421,70.90876922607421,70.90876922607421,70.90876922607421,70.2459366391267,69.68800685229603,0.5579297868306696,0.21914762363582635,0.3387821631948433,92.70047847204617,85.43038868097317,87.6230159912335,-14.569611316658902,73.44792813203803,68.3696103201104,0.07161762737313311,0.7805013688258124,1.3536273222826167,22926000.0,13288700.0,0.0,0.0,0.0,1.1267091383442243,0.35945426389704704,0.014513607476755563,0.0,0.010534809530955211,0.010534809530955211,0.020088842509911276,0.020088842509911276,0.0,0.0,0.7569862365722606,0.7569862365722606,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2016-04-04,72.5570068359375,73.00448277664057,72.2773290386217,72.68752124468438,6905800,71.6079605102539,71.18347549438477,71.18347549438477,71.18347549438477,70.60148590017451,69.9005253696028,0.7009605305717059,0.3155102050230023,0.3854503255487036,93.10324715482949,89.54261586172215,86.37299901210501,-10.45738413594087,73.82335942595579,68.54359156281375,0.07417125711361358,0.7601499492175244,1.249215058238659,29831800.0,16045883.333333334,0.05062124598291873,0.0,0.0,0.7953440429048289,-0.32185714005145627,0.0030934947588632244,0.05062124598291873,0.00989892337968239,0.00989892337968239,0.019295648771169516,0.019295648771169516,0.4244850158691378,0.0,0.5323181152343702,0.6680260794503301,0.0,1.0,0.8660254037844387,-0.4999999999999998
2016-04-05,71.75524139404297,72.22136611962465,71.39166467708917,71.91372209374101,6012000,71.90441436767578,71.26515633719308,71.26515633719308,71.26515633719308,70.77898674538504,70.03791174178356,0.7410750036014804,0.40062316473869797,0.3404518388627824,77.73459894674578,70.8055879007551,81.92619748115014,-29.19441209690793,73.71348200842874,68.81683066595741,0.06871031502822805,0.6000857570844607,1.2372332154686123,23819800.0,17156442.85714286,0.021093021152625013,0.0,0.0,0.7242289020404862,-0.12942743780590227,-0.011050144939239948,0.021093021152625013,0.012328476795748665,0.012328476795748665,0.00687692389855088,0.00687692389855088,0.6392580304827078,0.0,0.16127777099608578,0.4787769317626934,0.9510565162951535,0.30901699437494745,0.8660254037844387,-0.4999999999999998
2016-04-06,72.91124725341797,72.97650444708549,71.7832259843075,71.8578076663563,6220400,72.17103729248046,71.47091770172119,71.47091770172119,71.47091770172119,71.10702682354395,70.25075140931203,0.8562754142319164,0.4917536146373417,0.36452179959457476,82.01507581865877,97.82111261452846,86.05643879233524,-2.1788873831345676,74.01901068949131,68.92282471395107,0.07130433103995779,0.782628922596536,1.2352369451653509,30040200.0,18766912.5,0.018624607475104415,0.0,0.0,0.7735721469754746,0.034664005322687874,0.016110403043964494,0.018624607475104415,0.011830418679000488,0.011830418679000488,0.02015266625798584,0.02015266625798584,0.7001195907592717,0.0,0.26475982666015363,0.4563588641938737,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2016-04-07,72.32394409179688,72.69684544925364,71.96036722421452,72.44513401015706,7542100,72.37613677978516,71.5656984117296,71.5656984117296,71.5656984117296,71.29424486481363,70.40432123764425,0.8899236271693809,0.5713876171437495,0.31853601002563137,74.71738285107635,84.0960065101095,84.24090234179769,-15.903993487553521,74.01612336011345,69.11527346334574,0.0684804313452716,0.6547171808918072,1.203641732280695,22498100.0,19181488.888888888,0.014383166599430952,0.0,0.0,0.9444520197241733,0.21247829721561318,-0.008055042037338866,0.014383166599430952,0.012310439782264891,0.012310439782264891,0.010595099283512877,0.010595099283512877,0.8104383680555571,0.0,0.03356399536132304,0.37631963094075904,-0.587785252292473,-0.8090169943749475,0.8660254037844387,-0.4999999999999998
2016-04-08,72.74343872070312,73.29346971020209,72.53834266063572,72.79005404799129,5327500,72.45817565917969,71.68347244262695,71.68347244262695,71.68347244262695,71.51719776571971,70.57758919935232,0.9396085663673972,0.6450318069884791,0.29457675937891814,76.22822003191851,87.95911970251795,89.95874627571864,-12.040880295292926,74.11086517898393,69.25607970626997,0.06772531111118803,0.7183343185732554,1.1802301208931467,27825600.0,20045900.0,0.005670897259036467,0.0,0.0,0.6901022944686892,-0.29363174712613194,0.005800217814086794,0.005670897259036467,0.011515375566103339,0.011515375566103339,0.014786759651230108,0.014786759651230108,0.7747032165527372,0.0,0.09415664672850638,0.33792738481001267,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
