Date,Close,High,Low,Open,Volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR,OBV,OBV_SMA,Momentum_5,Momentum_10,Momentum_20,Vol_Ratio,Vol_Change,Returns,Returns_5d,Volatility_10,Volatility_20,Price_to_SMA20,Price_to_SMA50,SMA_Cross_5_20,SMA_Cross_20_50,Trend_Slope_5,Trend_Slope_10,Day_Sin,Day_Cos,Month_Sin,Month_Cos
2016-03-28,69.0610580444336,69.23818064724355,68.72544759042442,69.11699074926825,7283300,69.0610580444336,69.0610580444336,69.0610580444336,69.0610580444336,69.0610580444336,69.0610580444336,0.0,0.0,0.0,0.0,65.455201196849,65.455201196849,-34.54479878364767,69.0610580444336,69.0610580444336,0.0,0.0,0.5127330568191297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4480638910185917e-12,-1.4480638910185917e-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17
2016-03-29,70.27297973632812,70.46875131957961,68.91189602955534,69.00511957693689,10541500,69.66701889038086,69.66701889038086,69.66701889038086,69.66701889038086,69.2475075354943,69.15083002161097,0.09667751388332135,0.019335502776664272,0.07734201110665709,99.99999998349729,88.7700817668114,77.1126414818302,-11.229918227452362,71.38093498359225,67.95310279716946,0.049203084056337616,0.6767766952768931,1.0347941734217017,10541500.0,5270750.0,0.0,0.0,0.0,1.1827902697365469,0.44735216179479087,0.017548553790108334,0.0,0.0,0.0,0.00869795859644662,0.00869795859644662,0.0,0.0,1.2119216918945148,1.2119216918945148,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2016-03-30,71.578125,71.78322105530088,70.7018080773508,70.75774789129663,9691900,70.3040542602539,70.3040542602539,70.3040542602539,70.3040542602539,69.60606406849517,69.33062964963979,0.275434418855383,0.07055528599240801,0.204879132862975,99.99999998808137,93.29263407672146,82.50597234679395,-6.707365920008195,72.82169659722634,67.78641192328148,0.07162154056290851,0.753028542013421,1.1932765552720543,20233400.0,10258300.0,0.0,0.0,0.0,1.0566565031417283,-0.0805957406441209,0.018572504945270962,0.0,0.0007240428054192929,0.0007240428054192929,0.01812229398503651,0.01812229398503651,0.0,0.0,1.2585334777832005,1.2585334777832005,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2016-03-31,71.2984390258789,71.7086239356456,70.80434085701444,71.4289533761454,7490800,70.55265045166016,70.55265045166016,70.55265045166016,70.55265045166016,69.8664294465542,69.47639330713898,0.39003613941522985,0.1344514566769724,0.25558468273825746,89.9996180745096,84.14591417334735,88.73621000562673,-15.85408582338229,72.83617470597652,68.2691261973438,0.06473248672288234,0.6632977124597464,1.1210281861118325,12742600.0,10879375.0,0.0,0.0,0.0,0.8559080197100621,-0.22710717196834473,-0.003907422471894795,0.0,0.01269353201440824,0.01269353201440824,0.010570667003200418,0.010570667003200418,0.0,0.0,0.8017288208007843,0.8017288208007843,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2016-04-01,72.33325958251953,72.94854787315008,70.664538676116,71.08404824699927,10183400,70.90877227783203,70.90877227783203,70.90877227783203,70.90877227783203,70.24594177516425,69.68801303124124,0.5579287439230143,0.2191469141261808,0.33878182979683347,92.70049300678754,85.43041250446322,87.62298691817733,-14.569587493168857,73.4479290998023,68.36961545586176,0.07161756551129833,0.7805040028020241,1.3536243882962822,22926000.0,13288700.0,0.0,0.0,0.0,1.1267091383442243,0.35945426389704704,0.014513930049226298,0.0,0.010534790498422299,0.010534790498422299,0.020089013796545707,0.020089013796545707,0.0,0.0,0.7569862365722527,0.7569862365722527,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2016-04-04,72.55699920654297,73.00447510019379,72.2773214386354,72.68751360156622,6905800,71.6079605102539,71.18347676595052,71.18347676595052,71.18347676595052,70.60148907229944,69.90053052570804,0.7009585465914085,0.31550924061922636,0.3854493059721822,93.10322120465153,89.54257964645618,86.37296877475558,-10.457420351206839,73.82335464802482,68.54359888387621,0.07417108581954898,0.7601488595065585,1.2492126005066335,29831800.0,16045883.333333334,0.05062101944427355,0.0,0.0,0.7953440429048289,-0.32185714005145627,0.003093177679462711,0.05062101944427355,0.009898967593695443,0.009898967593695443,0.019295523383981772,0.019295523383981772,0.4244837443033873,0.0,0.5323173522949194,0.6680245535714341,0.0,1.0,0.8660254037844387,-0.4999999999999998
2016-04-05,71.75524139404297,72.22136611962465,71.39166467708917,71.91372209374101,6012000,71.90441284179687,71.26515742710659,71.26515742710659,71.26515742710659,70.77898942949076,70.03791651595508,0.7410729135356888,0.40062197520251885,0.34045093833317,77.73465110263768,70.80566312393358,81.92621842495099,-29.194336873729434,73.71347749297772,68.81683736123546,0.06871015666728732,0.6000857636442232,1.2372300189276575,23819800.0,17156442.85714286,0.021092910294631784,0.0,0.0,0.7242289020404862,-0.12942743780590227,-0.011050040950807416,0.021092910294631784,0.01232846338112276,0.01232846338112276,0.006876908499598544,0.006876908499598544,0.6392554146902825,0.0,0.16127929687499573,0.4787758418491888,0.9510565162951535,0.30901699437494745,0.8660254037844387,-0.4999999999999998
2016-04-06,72.9112548828125,72.9765120833085,71.78323349566648,71.85781518551947,6220400,72.17103881835938,71.47091960906982,71.47091960906982,71.47091960906982,71.10703026846335,70.25075639498155,0.856273873481797,0.49175235485837454,0.3645215186234224,82.01515706004093,97.82146253403889,86.05656843480955,-2.1785374636241306,74.0190100926496,68.92282912549005,0.0713042590612713,0.7826303231667248,1.2352351027198925,30040200.0,18766912.5,0.018624822636978733,0.0,0.0,0.7735721469754746,0.034664005322687874,0.016110509369222203,0.018624822636978733,0.011830421593031321,0.011830421593031321,0.020152745781346848,0.020152745781346848,0.7001192092895536,0.0,0.2647613525390542,0.4563586825416148,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2016-04-07,72.32392883300781,72.69683011179046,71.96035204213231,72.44511872579953,7542100,72.37613677978516,71.5656984117296,71.5656984117296,71.5656984117296,71.29424543223942,70.40432472372423,0.8899207085151914,0.571386025589738,0.3185346829254535,74.71718089578087,84.0957725624262,84.24096607346623,-15.904227435236821,74.01611842573871,69.11527839772049,0.06848029344751183,0.6547143789386962,1.2036426291599251,22498100.0,19181488.888888888,0.014383061132049235,0.0,0.0,0.9444520197241733,0.21247829721561318,-0.008055355112851603,0.014383061132049235,0.012310492581863597,0.012310492581863597,0.010594886069788867,0.010594886069788867,0.8104383680555571,0.0,0.03355941772460961,0.3763183593750034,-0.587785252292473,-0.8090169943749475,0.8660254037844387,-0.4999999999999998
2016-04-08,72.74343872070312,73.29346971020209,72.53834266063572,72.79005404799129,5327500,72.45817260742187,71.68347244262695,71.68347244262695,71.68347244262695,71.51719824584923,70.57759242720415,0.9396058186450773,0.6450299842008058,0.2945758344442715,76.22808017477014,87.95909968987422,89.95877826211311,-12.04090030793665,74.11086075125606,69.25608413399785,0.06772518757565822,0.7183347168304871,1.1802324539633602,27825600.0,20045900.0,0.005670685111537788,0.0,0.0,0.6901022944686892,-0.29363174712613194,0.005800430016239089,0.005670685111537788,0.011515424826826139,0.011515424826826139,0.014786759651230108,0.014786759651230108,0.7747001647949219,0.0,0.09415664672850874,0.3379264600349196,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
