Date,Close,High,Low,Open,Volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR,OBV,OBV_SMA,Momentum_5,Momentum_10,Momentum_20,Vol_Ratio,Vol_Change,Returns,Returns_5d,Volatility_10,Volatility_20,Price_to_SMA20,Price_to_SMA50,SMA_Cross_5_20,SMA_Cross_20_50,Trend_Slope_5,Trend_Slope_10,Day_Sin,Day_Cos,Month_Sin,Month_Cos,SPY_Ret,SPY_SMA_Ratio,VIX_Level,VIX_Change,Sector_Ret,Sector_Relative
2020-09-30,9.5,11.40999984741211,9.109999656677246,10.0,338584400,9.5,9.5,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,16.95653525929448,16.95653525929448,-83.04346473635769,9.5,9.5,0.0,0.0,2.3000001907348633,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0526357563378497e-11,-1.0526357563378497e-11,0.0,0.0,0.0,0.0,0.5877852522924732,-0.8090169943749473,-1.0,-1.8369701987210297e-16,0.0,0.0,0.3185000419616699,0.0,0.0,0.0
2020-10-01,9.460000038146973,10.100000381469727,9.229999542236328,9.6899995803833,124297600,9.480000019073486,9.480000019073486,9.480000019073486,9.480000019073486,9.493846159714918,9.497037039862738,-0.0031908801478195414,-0.0006381760295639084,-0.002552704118255633,0.0,15.217406627374324,16.0869709433344,-84.78259336827784,9.536568507620444,9.423431530526528,0.011934280260031028,0.3232233044176719,1.5850005149841309,-124297600.0,-62148800.0,0.0,0.0,0.0,0.5370595529746242,-0.6328903517114197,-0.004210522300318709,0.0,0.0,0.0,-0.002109702635660682,-0.002109702635660682,0.0,0.0,-0.03999996185302846,-0.03999996185302846,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0.006420114024166423,0.003199785518143594,0.33500003814697266,0.012514217413868156,0.010539695213826361,-0.01475021751414507
2020-10-02,9.199999809265137,9.279999732971191,8.9399995803833,9.0600004196167,55018300,9.386666615804037,9.386666615804037,9.386666615804037,9.386666615804037,9.44863902887649,9.475034282040694,-0.026395253164203325,-0.0057895914564917925,-0.020605661707711533,0.0,10.526323917530052,14.233421934732952,-89.47367607842136,9.712447964162928,9.060885267445146,0.06941363994049018,0.2135090644375793,1.2300004959106445,-179315900.0,-101204500.0,0.0,0.0,0.0,0.3187001436376847,-0.5573663530108385,-0.027484167847082297,0.0,0.016456952589048626,0.016456952589048626,-0.019886378655722847,-0.019886378655722847,0.0,0.0,-0.15000009536743197,-0.15000009536743197,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,-0.00949460099145194,-0.004225706915091831,0.38149995803833003,0.03483139967239324,-0.02535378047129777,-0.002130387375784526
2020-10-05,9.029999732971191,9.489999771118164,8.920000076293945,9.430000305175781,36316900,9.297499895095825,9.297499895095825,9.297499895095825,9.297499895095825,9.384232983352598,9.442068759887398,-0.057835776534799876,-0.01619882847215341,-0.041636948062646464,0.0,4.417657300563999,10.053795948489459,-95.58234269541994,9.742434635556405,8.852565154635245,0.09571062016155228,0.19939393598748104,1.065000295639038,-215632800.0,-129811575.0,0.0,0.0,0.0,0.262113120992997,-0.33991235643413187,-0.01847826954547782,0.0,0.011735539986915644,0.011735539986915644,-0.02877119281957241,-0.02877119281957241,0.0,0.0,-0.16700010299682558,-0.16700010299682558,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.017733131765562016,0.010040649643643151,0.39799995422363277,0.011943537232336876,0.021924503177679133,-0.040402772723156954
2020-10-06,9.899999618530273,10.180000305175781,8.899999618530273,9.039999961853027,90864000,9.417999839782714,9.417999839782714,9.417999839782714,9.417999839782714,9.463581696456856,9.475989564231314,-0.012407867774458126,-0.015440636332614352,0.003032768558156226,64.92535717658376,39.84063381562491,18.261538344572987,-60.159366180391025,10.080479972196066,8.755519707369363,0.1406838274954997,0.8637843273165804,1.1080003738403321,-124768800.0,-128803020.0,0.0,0.0,0.0,0.7042834297449685,1.5019756642224418,0.09634550512581486,0.0,0.05734118588383248,0.05734118588383248,0.051178571548325946,0.051178571548325946,0.0,0.0,0.03699989318847598,0.03699989318847598,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,-0.014215820361610398,-0.0034573111011076962,0.4739999771118164,0.05436339440396454,-0.015494722429800434,0.11184022755561529
2020-10-07,10.0,10.489999771118164,9.989999771118164,10.039999961853027,54672400,9.517999839782714,9.514999866485596,9.514999866485596,9.514999866485596,9.546107589309647,9.514805152066032,0.0313024372436157,-0.006092021617368342,0.03739445886098404,67.36110464427303,43.82471239518309,29.36100117045733,-56.175287600832846,10.274552409106947,8.755447323864244,0.15965371587417854,0.8192670067028249,1.0216670036315918,-70096400.0,-119018583.33333333,0.05263157894736836,0.0,0.0,0.4687855839541233,-0.3983051593590421,0.010101049022522401,0.05263157894736836,0.049663111280908855,0.049663111280908855,0.050972163974232876,0.050972163974232876,0.00299997329711843,0.0,0.1779999732971189,0.10428567613874098,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0.017406486834923296,0.01154743303598682,0.40299997329711923,-0.048168252996730776,0.01833262030362537,-0.008231571281102967
2020-10-08,10.0,10.399999618530273,9.989999771118164,10.289999961853027,34989200,9.62599983215332,9.584285599844796,9.584285599844796,9.584285599844796,9.615937190954316,9.550745511172252,0.06519167978206397,0.008164718662518122,0.057026961119545846,67.36110463959518,43.82471239518309,42.49668620199703,-56.175287600832846,10.368620401160465,8.799950798529126,0.16367099939513216,0.765010808765192,0.9342859813145229,-70096400.0,-112029700.0,0.05708244816865804,0.0,0.0,0.33334712500755365,-0.36002077830861645,0.0,0.05708244816865804,0.044657039167782554,0.044657039167782554,0.04337458391865945,0.04337458391865945,0.04171423230852511,0.0,0.2570000648498524,0.11714284760611329,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0.008862388930303222,0.01753048154500436,0.3180000305175781,-0.06058442223615079,0.00518019115886359,-0.00518019115886359
2020-10-09,9.949999809265137,10.1899995803833,9.890000343322754,10.130000114440918,19653500,9.775999832153321,9.629999876022339,9.629999876022339,9.629999876022339,9.667331439925212,9.580319903623577,0.0870115363016346,0.02393408219034142,0.06307745411129319,65.1006573599553,41.832673105404,43.16069929859006,-58.16732689061194,10.400825090019014,8.859174662025664,0.1600883123390151,0.7075697105916292,0.8550001382827759,-89749900.0,-109244725.0,0.08152174082054753,0.0,0.0,0.20841565633341522,-0.43829810341476794,-0.00500001907348635,0.08152174082054753,0.04112678296253879,0.04112678296253879,0.03322948465827502,0.03322948465827502,0.14599995613098216,0.0,0.19400005340576199,0.10857141585577007,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0.00893019256035954,0.023212838927429313,0.25,-0.051593345176839334,0.01529085658687035,-0.0202908756603567
2020-10-12,9.890000343322754,10.050000190734863,9.65999984741211,10.039999961853027,20623600,9.947999954223633,9.658888816833496,9.658888816833496,9.658888816833496,9.701588194294064,9.603259195453147,0.09832899884091795,0.03881306552045673,0.05951593332046122,62.5806546517714,39.44225635366047,41.69988061808252,-60.55774364235547,10.400471330219062,8.91730630344793,0.15355441551112167,0.6558232039268131,0.803333494398329,-110373500.0,-109370144.44444445,0.09523816564594645,0.0,0.0,0.23949372138702502,0.04936016485613259,-0.0060300971952294,0.09523816564594645,0.03836764391683269,0.03836764391683269,0.02392734099848881,0.02392734099848881,0.2891111373901367,0.0,-0.006999874114990867,0.09333335558573436,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.016087598604097586,0.03511089175053206,0.25349998474121094,0.00279998779296875,0.027292538016437717,-0.03332263521166712
2020-10-13,9.470000267028809,9.880000114440918,9.40999984741211,9.880000114440918,21847200,9.86200008392334,9.639999961853027,9.639999961853027,9.639999961853027,9.665959282407103,9.59338816371801,0.07257111868909227,0.04556467615418384,0.027006442534908436,49.23858553579768,22.709187111498867,34.66137219018778,-77.29081288451707,10.349303295849325,8.93069662785673,0.14715836862982629,0.38016431989369287,0.7710001945495606,-132220700.0,-111655200.0,-0.04343427960306334,0.0,0.0,0.2741636591597269,0.05933008786050942,-0.042467144763802644,-0.04343427960306334,0.03931126774669875,0.03931126774669875,-0.0176348231945197,-0.0176348231945197,0.2220001220703125,0.0,-0.11699991226196386,0.057575792254823795,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,-0.006526088708212252,0.025447940293152893,0.303499984741211,0.03988831320993014,-0.006398746793323529,-0.036068397970479116
